t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
14.810,map,2.0773,8.0605,1.8167,2.0804,8.0571,1.8126
14.910,map,2.0681,8.0984,1.8036,2.0713,8.0949,1.7998
15.010,map,2.0594,8.1359,1.7922,2.0628,8.1324,1.7886
15.110,map,2.0510,8.1742,1.7828,2.0546,8.1705,1.7790
15.210,map,2.0428,8.2132,1.7743,2.0465,8.2095,1.7706
15.310,map,2.0347,8.2530,1.7671,2.0386,8.2495,1.7632
15.410,map,2.0268,8.2933,1.7607,2.0309,8.2898,1.7568
15.510,map,2.0192,8.3336,1.7550,2.0234,8.3299,1.7512
15.610,map,2.0119,8.3736,1.7499,2.0162,8.3700,1.7463
15.710,map,2.0047,8.4137,1.7436,2.0092,8.4101,1.7401
15.810,map,1.9982,8.4523,1.7330,2.0028,8.4487,1.7297
15.910,map,1.9919,8.4917,1.7240,1.9967,8.4881,1.7205
16.010,map,1.9860,8.5310,1.7157,1.9910,8.5272,1.7125
16.110,map,1.9803,8.5710,1.7087,1.9854,8.5669,1.7056
16.210,map,1.9748,8.6117,1.7027,1.9801,8.6075,1.6996
16.310,map,1.9696,8.6520,1.6973,1.9750,8.6475,1.6943
16.410,map,1.9645,8.6925,1.6927,1.9701,8.6879,1.6898
16.510,map,1.9597,8.7326,1.6887,1.9654,8.7281,1.6858
16.610,map,1.9552,8.7715,1.6851,1.9609,8.7674,1.6824
16.710,map,1.9507,8.8106,1.6820,1.9565,8.8066,1.6794
16.810,map,1.9464,8.8502,1.6796,1.9523,8.8463,1.6768
16.910,map,1.9420,8.8903,1.6773,1.9481,8.8861,1.6745
17.010,map,1.9379,8.9298,1.6752,1.9440,8.9258,1.6725
17.110,map,1.9337,8.9695,1.6733,1.9400,8.9655,1.6707
17.210,map,1.9296,9.0200,1.6714,1.9360,9.0056,1.6692
17.310,map,1.9256,9.0604,1.6682,1.9321,9.0459,1.6659
17.410,map,1.9219,9.1001,1.6526,1.9285,9.0858,1.6504
17.510,map,1.9190,9.1406,1.6347,1.9257,9.1264,1.6324
17.610,map,1.9167,9.1817,1.6194,1.9234,9.1676,1.6168
17.710,map,1.9150,9.2227,1.6061,1.9218,9.2084,1.6035
17.810,map,1.9137,9.2651,1.5944,1.9207,9.2503,1.5920
17.900,map,1.9130,9.3033,1.5853,1.9201,9.2885,1.5830
18.000,map,1.9126,9.3453,1.5772,1.9198,9.3310,1.5746
18.100,map,1.9125,9.3876,1.5699,1.9198,9.3733,1.5671
18.200,map,1.9126,9.4300,1.5637,1.9200,9.4156,1.5607
18.300,map,1.9131,9.4724,1.5582,1.9206,9.4581,1.5552
18.400,map,1.9137,9.5152,1.5533,1.9214,9.5010,1.5504
18.500,map,1.9145,9.5585,1.5497,1.9223,9.5439,1.5463
18.600,map,1.9155,9.5924,1.5462,1.9235,9.5868,1.5428
18.700,map,1.9166,9.6341,1.5432,1.9247,9.6297,1.5397
18.800,map,1.9179,9.6770,1.5407,1.9261,9.6725,1.5370
18.900,map,1.9192,9.7206,1.5385,1.9277,9.7162,1.5346
19.000,map,1.9207,9.7650,1.5365,1.9293,9.7604,1.5326
19.100,map,1.9223,9.8094,1.5345,1.9310,9.8040,1.5308
19.200,map,1.9239,9.8529,1.5332,1.9328,9.8478,1.5293
19.300,map,1.9256,9.8978,1.5317,1.9347,9.8928,1.5279
19.400,map,1.9274,9.9427,1.5303,1.9367,9.9378,1.5268
19.500,map,1.9293,9.9882,1.5294,1.9387,9.9827,1.5258
19.600,map,1.9312,10.0332,1.5286,1.9407,10.0277,1.5249
19.700,map,1.9331,10.0780,1.5280,1.9428,10.0726,1.5242
19.800,map,1.9350,10.1233,1.5271,1.9449,10.1176,1.5236
19.900,map,1.9370,10.1678,1.5263,1.9470,10.1625,1.5230
20.000,map,1.9390,10.2127,1.5261,1.9492,10.2075,1.5225
20.100,map,1.9410,10.2573,1.5256,1.9514,10.2524,1.5221
20.200,map,1.9430,10.3022,1.5255,1.9536,10.2974,1.5218
20.300,map,1.9451,10.3468,1.5250,1.9558,10.3423,1.5214
20.400,map,1.9471,10.3908,1.5244,1.9580,10.3865,1.5211
20.500,map,1.9491,10.4341,1.5241,1.9601,10.4296,1.5209
20.600,map,1.9511,10.4759,1.5240,1.9622,10.4716,1.5207
20.700,map,1.9530,10.5170,1.5239,1.9643,10.5125,1.5206
20.800,map,1.9549,10.5569,1.5239,1.9663,10.5524,1.5204
20.900,map,1.9567,10.5964,1.5237,1.9683,10.5914,1.5203
21.000,map,1.9585,10.6344,1.5235,1.9702,10.6293,1.5202
21.100,map,1.9603,10.6713,1.5232,1.9721,10.6662,1.5201
21.200,map,1.9620,10.7070,1.5230,1.9739,10.7022,1.5200
21.300,map,1.9636,10.7420,1.5227,1.9757,10.7373,1.5200
21.400,map,1.9653,10.7762,1.5228,1.9774,10.7716,1.5200
21.500,map,1.9669,10.8099,1.5228,1.9791,10.8050,1.5200
21.600,map,1.9685,10.8422,1.5226,1.9808,10.8375,1.5200
21.700,map,1.9700,10.8738,1.5226,1.9824,10.8692,1.5200
21.800,map,1.9715,10.9046,1.5228,1.9839,10.9001,1.5201
21.900,map,1.9729,10.9348,1.5226,1.9855,10.9303,1.5201
22.000,map,1.9744,10.9734,1.5225,1.9870,10.9596,1.5201
22.100,map,1.9757,11.0028,1.5225,1.9884,10.9881,1.5201
22.200,map,1.9771,11.0305,1.5226,1.9898,11.0158,1.5200
22.300,map,1.9784,11.0575,1.5224,1.9912,11.0427,1.5199
22.400,map,1.9796,11.0836,1.5223,1.9925,11.0690,1.5198
22.500,map,1.9809,11.1089,1.5224,1.9938,11.0946,1.5198
22.600,map,1.9821,11.1338,1.5222,1.9951,11.1196,1.5197
22.700,map,1.9833,11.1585,1.5221,1.9964,11.1439,1.5196
22.800,map,1.9844,11.1820,1.5221,1.9976,11.1677,1.5196
22.900,map,1.9855,11.2049,1.5222,1.9988,11.1908,1.5195
23.000,map,1.9866,11.2270,1.5222,1.9999,11.2129,1.5195
23.100,map,1.9875,11.2449,1.5224,2.0008,11.2306,1.5195
23.200,map,1.9881,11.2576,1.5224,2.0015,11.2433,1.5195
23.300,map,1.9885,11.2653,1.5223,2.0018,11.2510,1.5195
23.400,map,1.9886,11.2681,1.5223,2.0020,11.2537,1.5195
23.500,map,1.9886,11.2681,1.5223,2.0020,11.2537,1.5195
23.600,map,1.9886,11.2681,1.5204,2.0020,11.2537,1.5176
23.700,map,1.9886,11.2681,1.5054,2.0020,11.2537,1.5024
23.800,map,1.9886,11.2681,1.4755,2.0020,11.2537,1.4723
23.900,map,1.9886,11.2681,1.4309,2.0020,11.2537,1.4271
24.000,map,1.9886,11.2681,1.3701,2.0020,11.2537,1.3670
24.100,map,1.9886,11.2681,1.2948,2.0020,11.2537,1.2918
24.200,map,1.9886,11.2681,1.2066,2.0020,11.2537,1.2036
24.300,map,1.9886,11.2681,1.1173,2.0020,11.2537,1.1136
24.400,map,1.9886,11.2681,1.0275,2.0020,11.2537,1.0236
24.500,map,1.9886,11.2681,0.9377,2.0020,11.2537,0.9336
24.600,map,1.9886,11.2681,0.8479,2.0020,11.2537,0.8436
24.700,map,1.9886,11.2681,0.7587,2.0020,11.2537,0.7536
24.800,map,1.9886,11.2681,0.6691,2.0020,11.2537,0.6636
24.900,map,1.9886,11.2681,0.5803,2.0020,11.2537,0.5736
25.000,map,1.9886,11.2681,0.4904,2.0020,11.2537,0.4836
25.100,map,1.9908,11.2691,0.4019,2.0042,11.2547,0.3936
25.200,map,1.9978,11.2717,0.3127,2.0112,11.2573,0.3060
25.300,map,2.0097,11.2750,0.2360,2.0232,11.2605,0.2304
25.400,map,2.0265,11.2784,0.1727,2.0401,11.2638,0.1668
25.500,map,2.0487,11.2816,0.1197,2.0623,11.2669,0.1143
25.600,map,2.0759,11.2843,0.0762,2.0896,11.2694,0.0703
25.700,map,2.1087,11.2861,0.0393,2.1220,11.2711,0.0334
25.800,map,2.1459,11.2870,0.0074,2.1595,11.2717,0.0023
25.900,map,2.1881,11.2867,-0.0183,2.2019,11.2712,-0.0238
26.000,map,2.2330,11.2854,-0.0404,2.2464,11.2697,-0.0458
26.100,map,2.2775,11.2832,-0.0589,2.2910,11.2672,-0.0645
26.200,map,2.3219,11.2802,-0.0750,2.3356,11.2640,-0.0803
26.300,map,2.3671,11.2675,-0.0885,2.3802,11.2601,-0.0937
26.400,map,2.4114,11.2623,-0.1001,2.4249,11.2556,-0.1049
26.500,map,2.4563,11.2575,-0.1093,2.4695,11.2507,-0.1142
26.600,map,2.5013,11.2524,-0.1171,2.5142,11.2454,-0.1223
26.700,map,2.5458,11.2470,-0.1240,2.5588,11.2397,-0.1292
26.800,map,2.5907,11.2413,-0.1295,2.6033,11.2338,-0.1348
26.900,map,2.6353,11.2354,-0.1340,2.6479,11.2277,-0.1395
27.000,map,2.6801,11.2292,-0.1383,2.6924,11.2213,-0.1436
27.100,map,2.7248,11.2229,-0.1419,2.7369,11.2148,-0.1470
27.200,map,2.7690,11.2166,-0.1448,2.7814,11.2081,-0.1499
27.300,map,2.8132,11.2101,-0.1473,2.8259,11.2014,-0.1524
27.400,map,2.8579,11.2034,-0.1491,2.8704,11.1945,-0.1544
27.500,map,2.9024,11.1967,-0.1510,2.9148,11.1875,-0.1562
27.600,map,2.9470,11.1898,-0.1525,2.9593,11.1805,-0.1577
27.700,map,2.9916,11.1829,-0.1542,3.0037,11.1734,-0.1590
27.800,map,3.0360,11.1760,-0.1553,3.0481,11.1663,-0.1600
27.900,map,3.0812,11.1689,-0.1559,3.0926,11.1591,-0.1608
28.000,map,3.1255,11.1619,-0.1569,3.1370,11.1518,-0.1615
28.100,map,3.1698,11.1549,-0.1576,3.1814,11.1446,-0.1621
28.200,map,3.2141,11.1479,-0.1580,3.2258,11.1373,-0.1626
28.300,map,3.2586,11.1408,-0.1584,3.2702,11.1300,-0.1630
28.400,map,3.3031,11.1337,-0.1584,3.3146,11.1227,-0.1634
28.500,map,3.3464,11.1267,-0.1588,3.3590,11.1154,-0.1637
28.600,map,3.3908,11.1196,-0.1592,3.4034,11.1081,-0.1640
28.700,map,3.4347,11.1126,-0.1596,3.4478,11.1007,-0.1643
28.800,map,3.4792,11.1054,-0.1598,3.4922,11.0933,-0.1644
28.900,map,3.5238,11.0982,-0.1604,3.5366,11.0860,-0.1646
29.000,map,3.5683,11.0910,-0.1603,3.5810,11.0786,-0.1646
